plan,protocol,zapper_id,zapper_name,zerion_id,zerion_name,debank_id,debank_name
Entry,0x,zero-x,0x,,,0x,0x
Essential,0x,zero-x,0x,,,0x,0x
Elite,0x,zero-x,0x,,,0x,0x
Entry,1Inch,one-inch,1inch,1inch,1inch,1inch2,1inch
Essential,1Inch,one-inch,1inch,1inch,1inch,1inch2,1inch
Elite,1Inch,one-inch,1inch,1inch,1inch,1inch2,1inch
Essential,Aave v2,aave-v2,Aave V2,aave-v2,Aave V2,aave2,Aave V2
Elite,Aave v2,aave-v2,Aave V2,aave-v2,Aave V2,aave2,Aave V2
Essential,Aave v3,aave-v3,Aave V3,aave-pool-v3,Aave V3,aave3,Aave V3
Elite,Aave v3,aave-v3,Aave V3,aave-pool-v3,Aave V3,aave3,Aave V3
Essential,Aerodrome,aerodrome,Aerodrome,aerodrome,Aerodrome,base_aerodrome,Aerodrome
Elite,Aerodrome,aerodrome,Aerodrome,aerodrome,Aerodrome,base_aerodrome,Aerodrome
Elite,Aevo,aevo,Aevo,,,aevo,Aevo
Elite,Ajna,ajna,Ajna V2,,,ajna,Ajna.finance
Elite,AlienBase,alien-based,Alien Base,,,base_alienbase,Alien Base
Elite,Aloe,aloe-labs,Aloe Labs,,,aloe,Aloe
Essential,Angle,angle,Angle,,,angle,Angle Protocol
Elite,Angle,angle,Angle,,,angle,Angle Protocol
Elite,Arcadia,arcadia-finance,Arcadia Finance,arcadia-finance,Arcadia Finance,arcadia,Arcadia Finance
Elite,Arrakis Finance,arrakis,Arrakis Finance,,,arrakis,Arrakis Finance
Essential,Aura,aura,Aura Finance,aura-finance,Aura Finance,aurafinance,Aura Finance
Elite,Aura,aura,Aura Finance,aura-finance,Aura Finance,aurafinance,Aura Finance
Entry,Balancer v2,balancer-v2,Balancer V2,balancer-v2,Balancer V2,balancer2,Balancer V2
Essential,Balancer v2,balancer-v2,Balancer V2,balancer-v2,Balancer V2,balancer2,Balancer V2
Elite,Balancer v2,balancer-v2,Balancer V2,balancer-v2,Balancer V2,balancer2,Balancer V2
Elite,Balancer v3,,,,,,
Elite,BaseSwap,baseswap,BaseSwap,,,base_baseswap,Base Swap
Essential,Beefy,beefy,Beefy Finance,,,beefy,Beefy
Elite,Beefy,beefy,Beefy Finance,,,beefy,Beefy
Essential,Beethoven X,beethoven-x,Beethoven-X,beethoven-x,Beethoven x,op_beethovenx,Beethoven x
Elite,Beethoven X,beethoven-x,Beethoven-X,beethoven-x,Beethoven x,op_beethovenx,Beethoven x
Essential,Camelot,camelot,Camelot,camelot,Camelot,arb_camelot,Camelot
Elite,Camelot,camelot,Camelot,camelot,Camelot,arb_camelot,Camelot
Essential,Compound v2,compound,Compound,compound-v2,Compound V2,compound,Compound
Elite,Compound v2,compound,Compound,compound-v2,Compound V2,compound,Compound
Essential,Compound v3,compound-v3,Compound III,compound-v3,Compound V3,compound3,Compound V3
Elite,Compound v3,compound-v3,Compound III,compound-v3,Compound V3,compound3,Compound V3
Elite,Conic Finance,conic-finance,Conic Finance,,,conic,Conic Finance
Elite,Contango,contango,Contango,,,contango,Contango
Essential,Convex,convex,Convex,convex,Convex,convex,Convex
Elite,Convex,convex,Convex,convex,Convex,convex,Convex
Entry,CowAMM,,,,,,
Essential,CowAMM,,,,,,
Elite,CowAMM,,,,,,
Entry,CowSwap,cow-swap,CoW Swap,,,cowswap,CoW Swap
Essential,CowSwap,cow-swap,CoW Swap,,,cowswap,CoW Swap
Elite,CowSwap,cow-swap,CoW Swap,,,cowswap,CoW Swap
Entry,Curve,curve,Curve,curve,Curve,curve,Curve
Essential,Curve,curve,Curve,curve,Curve,curve,Curve
Elite,Curve,curve,Curve,curve,Curve,curve,Curve
Elite,Curve LlamaLend,,,,,lendcurve,Curve LlamaLend
Entry,DAI Savings Rate (sDAI),,,,,,
Essential,DAI Savings Rate (sDAI),,,,,,
Elite,DAI Savings Rate (sDAI),,,,,,
Elite,DeFi Saver,defisaver,DefiSaver,,,defisaver,DeFi Saver
Elite,Derive (formerly Lyra),lyra,Lyra,,,lyra,Derive V1
Elite,Dolomite,dolomite,Dolomite,,,arb_dolomite,Dolomite
Elite,Eclipse,,,,,eclipsebridge,Eclipse Bridge
Entry,EigenLayer,eigen-layer,Eigen Layer,eigenlayer,EigenLayer,eigenlayer,EigenLayer
Essential,EigenLayer,eigen-layer,Eigen Layer,eigenlayer,EigenLayer,eigenlayer,EigenLayer
Elite,EigenLayer,eigen-layer,Eigen Layer,eigenlayer,EigenLayer,eigenlayer,EigenLayer
Elite,Elixir,elixir,Elixir,elixir,Elixir,elixir,Elixir
Essential,Enzyme,enzyme-finance,Enzyme Finance,enzyme,Enzyme,enzyme,Enzyme
Elite,Enzyme,enzyme-finance,Enzyme Finance,enzyme,Enzyme,enzyme,Enzyme
Elite,Equalizer,equalizer,Equalizer,,,equalizer,Equalizer
Elite,Equilibria,equilibria,Equilibria,equilibria,Equilibria,equilibria,Equilibria
Essential,Ether.fi,ether-fi,ether.fi,etherfi,ether.fi,etherfi,ether.fi
Elite,Ether.fi,ether-fi,ether.fi,etherfi,ether.fi,etherfi,ether.fi
Elite,Ether.fi Liquid,,,,,,
Elite,Ether.fi Vaults,,,,,,
Elite,Euler Finance v2,,,,,euler2,Euler
Elite,Exactly,exactly,Exactly,exactly,Exactly,exactly,Exactly
Elite,ExtraFi,extra,Extra Finance,extra-finance,Extra Finance,base_extrafinance,Extra Finance
Essential,f(x) Protocol,fx-protocol,f(x) protocol,,,fxprotocol,f(x) Protocol
Elite,f(x) Protocol,fx-protocol,f(x) protocol,,,fxprotocol,f(x) Protocol
Essential,Flat Money,flat-money,Flat Money,,,base_flat,Flat Money
Elite,Flat Money,flat-money,Flat Money,,,base_flat,Flat Money
Essential,Fluid,,,,,fluid,Fluid
Elite,Fluid,,,,,fluid,Fluid
Essential,Frax Finance,frax,Frax,frax,Frax,frax,Frax
Elite,Frax Finance,frax,Frax,frax,Frax,frax,Frax
Elite,Frax Staked ETH,,,,,,
Elite,Fraxlend,frax-lend,Frax Lend,,,fraxlend,Fraxlend
Elite,Fraxswap,frax-swap,Frax Swap,,,,
Elite,Gains Network,gains-network,Gains Network,,,arb_gainsnetwork,Gains Network
Elite,Gearbox,gearbox,Gearbox,gearbox,Gearbox,gearbox,Gearbox
Essential,GMX,gmx,GMX,,,arb_gmx,GMX
Elite,GMX,gmx,GMX,,,arb_gmx,GMX
Elite,Harvest Finance,harvest,Harvest,,,harvest,Harvest
Elite,HOT AMM,,,,,,
Elite,Hyperliquid,hyperliquid,Hyperliquid,,,arb_hyperliquid,Hyperliquid
Elite,Index Coop,index-coop,Index Coop,,,index,Index Coop
Elite,Instadapp Lite,instadapp,Instadapp,,,instadapplite,Instadapp Lite
Elite,Inverse Finance FiRM,inverse-firm,Inverse Finance - FiRM,,,,
Essential,Inverse sDOLA,inverse,Inverse Finance,,,inverse,Inverse
Elite,Inverse sDOLA,inverse,Inverse Finance,,,inverse,Inverse
Essential,Karak,karak,Karak,,,karak,Karak
Elite,Karak,karak,Karak,,,karak,Karak
Elite,KelpDAO,kelp,Kelp,kelp-dao,Kelp DAO,kelpdao,Kelp DAO
Essential,Kiln,,,,,kiln,Kiln
Elite,Kiln,,,,,kiln,Kiln
Essential,Kwenta,kwenta,Kwenta,,,kwenta,Kwenta
Elite,Kwenta,kwenta,Kwenta,,,kwenta,Kwenta
Entry,Lido,lido,Lido,,,lido,LIDO
Essential,Lido,lido,Lido,,,lido,LIDO
Elite,Lido,lido,Lido,,,lido,LIDO
Essential,Liquity,liquity,Liquity,,,liquity,Liquity
Elite,Liquity,liquity,Liquity,,,liquity,Liquity
Essential,Lombard Finance EVM instance,,,,,lombard,Lombard
Elite,Lombard Finance EVM instance,,,,,lombard,Lombard
Elite,MakerDAO,,,,,,
Elite,Maverick,maverick-protocol,Maverick Protocol,maverick,Maverick,maverick,Maverick
Elite,Mellow Finance,,,,,mellow,mellow
Essential,Moonwell,moonwell,Moonwell,moonwell,Moonwell,base_moonwell,Moonwell
Elite,Moonwell,moonwell,Moonwell,moonwell,Moonwell,base_moonwell,Moonwell
Essential,Morpho,morpho,Morpho,morpho-blue,Morpho Blue,morphoblue,Morpho
Essential,Morpho Vaults,morpho,Morpho,morpho-blue,Morpho Blue,morphovaults,Morpho Vaults
Elite,Morpho,morpho,Morpho,morpho-blue,Morpho Blue,morphoblue,Morpho
Elite,Morpho Vaults,morpho,Morpho,morpho-blue,Morpho Blue,morphovaults,Morpho Vaults
Elite,Mummy,mummy-finance,Mummy Finance,,,ftm_mummy,Mummy Finance
Essential,Notional v3,notional-finance-v3,Notional Finance V3,notional,Notional,notional,Notional
Elite,Notional v3,notional-finance-v3,Notional Finance V3,,,notional,Notional
Elite,Origin OUSD,,,,,ousd,Origin Dollar
Essential,Origin Protocol,origin,Origin,,,originstory,Origin Protocol
Elite,Origin Protocol,origin,Origin,,,originstory,Origin Protocol
Elite,Origin superOETH,,,,,,
Essential,PancakeSwap,pancakeswap,PancakeSwap,pancake-swap,PancakeSwap,pancakeswap,PancakeSwap
Elite,PancakeSwap,pancakeswap,PancakeSwap,pancake-swap,PancakeSwap,pancakeswap,PancakeSwap
Entry,Paraswap,paraswap,Paraswap,paraswap,ParaSwap,paraswap,ParaSwap
Essential,Paraswap,paraswap,Paraswap,paraswap,ParaSwap,paraswap,ParaSwap
Elite,Paraswap,paraswap,Paraswap,paraswap,ParaSwap,paraswap,ParaSwap
Essential,Pendle,pendle,Pendle,pendle-v2,Pendle V2,pendle,Pendle
Elite,Pendle,pendle,Pendle,pendle-v2,Pendle V2,pendle,Pendle
Elite,Pharaoh,pharaoh-exchange,Pharaoh Exchange,,,avax_pharaoh,Pharaoh Exchange
Essential,PoolTogether v5,pool-together-v5,PoolTogether,,,pooltogether,PoolTogether
Elite,PoolTogether v5,pool-together-v6,PoolTogether,,,pooltogether,PoolTogether
Essential,Prisma Finance,prisma-finance,Prisma Finance,prisma-finance,Prisma Finance,prisma,Prisma Finance
Elite,Prisma Finance,prisma-finance,Prisma Finance,prisma-finance,Prisma Finance,prisma,Prisma Finance
Essential,Puffer Finance,puffer-finance,Puffer Finance,,,puffer,Puffer Finance
Elite,Puffer Finance,puffer-finance,Puffer Finance,,,puffer,Puffer Finance
Elite,Quickswap,quickswap,Quickswap,quickswap,QuickSwap,matic_quickswap,QuickSwap
Elite,Ramses,ramses,Ramses,,,arb_ramses,RAMSES
Elite,Reflexer Finance,reflexer,Reflexer,,,reflexer,Reflexer
Essential,Renzo,renzo,Renzo,,,renzo,Renzo
Elite,Renzo,renzo,Renzo,,,renzo,Renzo
Elite,Reserve Finance,reserve-protocol,Reserve Protocol,reserve-protocol,Reserve Protocol,reserve,Reserve Protocol
Entry,Rocket Pool,rocket-pool,Rocket Pool,,,rocketpool,Rocket Pool
Essential,Rocket Pool,rocket-pool,Rocket Pool,,,rocketpool,Rocket Pool
Elite,Rocket Pool,rocket-pool,Rocket Pool,,,rocketpool,Rocket Pool
Entry,Safe,safe-gnosis,Safe (Fka Gnosis Safe),,,gnosis_safe,Gnosis Safe
Essential,Safe,safe-gnosis,Safe (Fka Gnosis Safe),,,gnosis_safe,Gnosis Safe
Elite,Safe,safe-gnosis,Safe (Fka Gnosis Safe),,,gnosis_safe,Gnosis Safe
Entry,Savings crvUSD (scrvUSD),curve-stablecoin,Curve Stablecoin,,,crvusd,Curve Stablecoin
Essential,Savings crvUSD (scrvUSD),,,,,crvusd,Curve Stablecoin
Elite,Savings crvUSD (scrvUSD),,,,,crvusd,Curve Stablecoin
Elite,Set Protocol v2,,,,,,
Elite,Silo,silo-finance,Silo Finance,silo,Silo,arb_silo,Silo
Essential,Sky Protocol,sky,Sky,,,sky,Sky
Elite,Sky Protocol,sky,Sky,,,sky,Sky
Entry,Sky Savings Rate (sUSDS),sky,Sky,,,,
Essential,Sky Savings Rate (sUSDS),sky,Sky,,,,
Elite,Sky Savings Rate (sUSDS),sky,Sky,,,,
Essential,Spark Protocol,,,spark,Spark,spark,Spark
Elite,Spark Protocol,,,spark,Spark,spark,Spark
Elite,Spectra Finance,,,,,spectra,Spectra
Essential,Stader,stader,Stader,stader,Stader,stader,Stader
Elite,Stader,stader,Stader,stader,Stader,stader,Stader
Elite,StakeDAO,stake-dao,StakeDAO,,,stakedao,Stake DAO
Entry,Stakewise,stakewise,StakeWise,,,stakewise,StakeWise
Essential,Stakewise,stakewise,StakeWise,,,stakewise,StakeWise
Elite,Stakewise,stakewise,StakeWise,,,stakewise,StakeWise
Elite,Sturdy,sturdy,Sturdy,sturdy-v2,Sturdy V2,sturdy,Sturdy
Elite,Summerfi,Summer-fi,Summer.fi,,,summer,Summer.fi
Elite,Superform,superform-labs,Superform Labs,,,superform,Superform
Elite,SushiSwap,sushiswap,SushiSwap,,,sushiswap,SushiSwap
Essential,Swell,swell,Swell,,,swellnetwork,Swell
Elite,Swell,swell,Swell,,,swellnetwork,Swell
Essential,Symbiotic,symbiotic,Symbiotic,,,symbiotic,Symbiotic
Elite,Symbiotic,symbiotic,Symbiotic,,,symbiotic,Symbiotic
Essential,Synthetix,synthetix,Synthetix,synthetix,Synthetix,symbiotic,Symbiotic
Elite,Synthetix,synthetix,Synthetix,synthetix,Synthetix,synthetix,Synthetix
Essential,Syrup,syrup,Syrup,syrup,Syrup,syrup,Syrup
Elite,Syrup,syrup,Syrup,syrup,Syrup,syrup,Syrup
Essential,Term Finance,,,term-finance,Term Finance,term,Term Finance
Elite,Term Finance,,,term-finance,Term Finance,term,Term Finance
Essential,Toros Finance,,,,,op_toros,Toros
Elite,Toros Finance,,,,,op_toros,Toros
Elite,Treehouse,,,treehouse,Treehouse,treehouse,Treehouse
Entry,Uniswap v2,uniswap-v2,Uniswap V2,uniswap-v2,Uniswap V2,uniswap2,Uniswap V2
Essential,Uniswap v2,uniswap-v2,Uniswap V2,uniswap-v2,Uniswap V2,uniswap2,Uniswap V2
Entry,Uniswap v3,uniswap-v3,Uniswap V3,uniswap-v3,Uniswap V3,uniswap3,Uniswap V3
Essential,Uniswap v3,uniswap-v3,Uniswap V3,uniswap-v3,Uniswap V3,uniswap3,Uniswap V3
Elite,Uniswap v3,uniswap-v3,Uniswap V3,uniswap-v3,Uniswap V3,uniswap3,Uniswap V3
Elite,Usual,usual,Usual,,,usualmoney,Usual
Elite,Veda,,,,,ftm_vedao,veDAO
Essential,Velodrome,velodrome,Velodrome,,,op_velodrome,Velodrome
Elite,Velodrome,velodrome,Velodrome,,,op_velodrome,Velodrome
Elite,Yearn Finance,yearn,Yearn,,,iearn,Yearn
Essential,Yearn v2,,,yearn-v2,Yearn V2,yearn2,Yearn V2
Elite,Yearn v2,,,yearn-v2,Yearn V2,yearn2,Yearn V2
Elite,Yearn v3,yearn-v3,Yearn V3,yearn-v3,Yearn V3,yearn3,Yearn V3
