id,slug,name,url,tags,supportedNetworks
zero-vix,zero-vix,0VIX,https://www.0vix.com/,lending,"ethereum, polygon"
zero-x,zero-x,0x,https://0x.org/,decentralized-exchange,"binance-smart-chain, optimism, base, arbitrum, ethereum"
zero-x-zero-audits,zero-x-zero-audits,0x0 Audits,https://0x0.ai/,,"ethereum, arbitrum, base"
dead-beef,dead-beef,0xDEADBEEF,https://deafbeef.com/,nft-marketplace,ethereum
0xmons-multisender,0xmons-multisender,0xmons Multisender,https://0xmons.xyz/#/multisender,infrastructure,ethereum
zero-x-splits,zero-x-splits,0xSplits,https://www.0xsplits.xyz/,infrastructure,"ethereum, optimism, base"
ten-k-t-f,ten-k-t-f,10KTF,https://10ktf.com/,,ethereum
one-inch,one-inch,1inch,https://1inch.exchange/,decentralized-exchange,"ethereum, arbitrum, optimism, base"
eighty-eight-mph,eighty-eight-mph,88mph,https://88mph.app/,lending,ethereum
eighty-eight-mph-v3,eighty-eight-mph-v3,88mph V3,https://88mph.app/,lending,"polygon, ethereum"
9dcc-iteration-03,9dcc-iteration-03,9dcc,https://www.9dcc.xyz/,,ethereum
9inch-DEX,9inch-DEX,9inch DEX,https://www.9inch.io/,,ethereum
aarna,aarna,Aarna,https://www.aarna.ai/,,ethereum
aave-amm,aave-amm,Aave AMM,https://aave.com/,lending,ethereum
aavegotchi,aavegotchi,Aavegotchi,https://aavegotchi.com/,yield-aggregator,polygon
aave-safety-module,aave-safety-module,Aave Safety Module,https://aave.com/,liquidity-pool,ethereum
aave-v1,aave-v1,Aave V1,https://aave.com/,lending,ethereum
aave-v2,aave-v2,Aave V2,https://aave.com/,lending,"ethereum, avalanche, polygon"
aave-v3,aave-v3,Aave V3,https://aave.com/,lending,"arbitrum, base, fantom, scroll, optimism, gnosis, zksync, polygon, ethereum, binance-smart-chain, avalanche, metis"
Aboard,Aboard,Aboard,https://aboard.exchange/,,arbitrum
abracadabra,abracadabra,Abracadabra,https://abracadabra.money/,lending,"base, arbitrum, blast, ethereum, fantom, binance-smart-chain, avalanche, optimism"
abstra,abstra,AbstraDEX,https://abstradex.xyz/,,morph
ace-of-base,ace-of-base,Ace Of Base,http://aceofbase.xyz,"farming, staking",base
acquire-fi,acquire-fi,Acquire.Fi,https://acquire.fi/,,ethereum
across,across,Across,https://across.to,"bridge, cross-chain","mode, base, arbitrum, ethereum, optimism"
acryptos,acryptos,Acryptos,https://app.acryptos.com/,,binance-smart-chain
adamant,adamant,Adamant Finance,https://adamant.finance/,yield-aggregator,"arbitrum, polygon"
Adrastia,Adrastia,Adrastia,https://adrastia.io/,,"arbitrum, optimism"
rainbow-world,rainbow-world,Ad World,https://adworld.game/,,base
aelin,aelin,Aelin,https://aelin.xyz/,launchpad,"optimism, ethereum"
aerodrome,aerodrome,Aerodrome,https://aerodrome.finance/,decentralized-exchange,base
aethir,aethir,Aethir,https://aethir.com/,,"ethereum, arbitrum"
