plan,protocol,zapper_id,zapper_name,zerion_id,zerion_name
Entry Cover,0x,zero-x,0x,,
Essential Cover,0x,zero-x,0x,,
Elite Cover,0x,zero-x,0x,,
Entry Cover,1Inch,one-inch,1inch,1inch,1inch
Essential Cover,1Inch,one-inch,1inch,1inch,1inch
Elite Cover,1Inch,one-inch,1inch,1inch,1inch
Essential Cover,Aave v2,aave-v2,Aave V2,aave-v2,Aave V2
Elite Cover,Aave v2,aave-v2,Aave V2,aave-v2,Aave V2
Essential Cover,Aave v3,aave-v3,Aave V3,aave-pool-v3,Aave V3
Elite Cover,Aave v3,aave-v3,Aave V3,aave-pool-v3,Aave V3
Essential Cover,Aerodrome,aerodrome,Aerodrome,aerodrome,Aerodrome
Elite Cover,Aerodrome,aerodrome,Aerodrome,aerodrome,Aerodrome
Elite Cover,Aevo,aevo,Aevo,,
Elite Cover,Ajna,ajna,Ajna V2,,
Elite Cover,AlienBase,alien-based,Alien Base,,
Elite Cover,Aloe,aloe-labs,Aloe Labs,,
Essential Cover,Angle,angle,Angle,,
Elite Cover,Angle,angle,Angle,,
Elite Cover,Arcadia,arcadia-finance,Arcadia Finance,arcadia-finance,Arcadia Finance
Elite Cover,Arrakis Finance,arrakis,Arrakis Finance,,
Essential Cover,Aura,aura,Aura Finance,aura-finance,Aura Finance
Elite Cover,Aura,aura,Aura Finance,aura-finance,Aura Finance
Entry Cover,Balancer v2,balancer-v2,Balancer V2,balancer-v2,Balancer V2
Essential Cover,Balancer v2,balancer-v2,Balancer V2,balancer-v2,Balancer V2
Elite Cover,Balancer v2,balancer-v2,Balancer V2,balancer-v2,Balancer V2
Elite Cover,Balancer v3,,,,
Elite Cover,BaseSwap,baseswap,BaseSwap,,
Essential Cover,Beefy,beefy,Beefy Finance,,
Elite Cover,Beefy,beefy,Beefy Finance,,
Essential Cover,Beethoven X,beethoven-x,Beethoven-X,beethoven-x,Beethoven x
Elite Cover,Beethoven X,beethoven-x,Beethoven-X,beethoven-x,Beethoven x
Essential Cover,Camelot,camelot,Camelot,camelot,Camelot
Elite Cover,Camelot,camelot,Camelot,camelot,Camelot
Essential Cover,Compound v2,compound,Compound,compound-v2,Compound V2
Elite Cover,Compound v2,compound,Compound,compound-v2,Compound V2
Essential Cover,Compound v3,compound-v3,Compound III,compound-v3,Compound V3
Elite Cover,Compound v3,compound-v3,Compound III,compound-v3,Compound V3
Elite Cover,Conic Finance,conic-finance,Conic Finance,,
Elite Cover,Contango,contango,Contango,,
Essential Cover,Convex,convex,Convex,convex,Convex
Elite Cover,Convex,convex,Convex,convex,Convex
Entry Cover,CowAMM,,,,
Essential Cover,CowAMM,,,,
Elite Cover,CowAMM,,,,
Entry Cover,CowSwap,cow-swap,CoW Swap,,
Essential Cover,CowSwap,cow-swap,CoW Swap,,
Elite Cover,CowSwap,cow-swap,CoW Swap,,
Entry Cover,Curve,curve,Curve,curve,Curve
Essential Cover,Curve,curve,Curve,curve,Curve
Elite Cover,Curve,curve,Curve,curve,Curve
Elite Cover,Curve LlamaLend,,,,
Entry Cover,DAI Savings Rate (sDAI),,,,
Essential Cover,DAI Savings Rate (sDAI),,,,
Elite Cover,DAI Savings Rate (sDAI),,,,
Elite Cover,DeFi Saver,defisaver,DefiSaver,,
Elite Cover,Derive (formerly Lyra),lyra,Lyra,,
Elite Cover,Dolomite,dolomite,Dolomite,,
Elite Cover,Eclipse,,,,
Entry Cover,EigenLayer,eigen-layer,Eigen Layer,eigenlayer,EigenLayer
Essential Cover,EigenLayer,eigen-layer,Eigen Layer,eigenlayer,EigenLayer
Elite Cover,EigenLayer,eigen-layer,Eigen Layer,eigenlayer,EigenLayer
Elite Cover,Elixir,elixir,Elixir,elixir,Elixir
Essential Cover,Enzyme,enzyme-finance,Enzyme Finance,enzyme,Enzyme
Elite Cover,Enzyme,enzyme-finance,Enzyme Finance,enzyme,Enzyme
Elite Cover,Equalizer,equalizer,Equalizer,,
Elite Cover,Equilibria,equilibria,Equilibria,equilibria,Equilibria
Essential Cover,Ether.fi,ether-fi,ether.fi,etherfi,ether.fi
Elite Cover,Ether.fi,ether-fi,ether.fi,etherfi,ether.fi
Elite Cover,Ether.fi Liquid,,,,
Elite Cover,Ether.fi Vaults,,,,
Elite Cover,Euler Finance v2,,,,
Elite Cover,Exactly,exactly,Exactly,exactly,Exactly
Elite Cover,ExtraFi,extra,Extra Finance,extra-finance,Extra Finance
Essential Cover,f(x) Protocol,fx-protocol,f(x) protocol,,
Elite Cover,f(x) Protocol,fx-protocol,f(x) protocol,,
Essential Cover,Flat Money,flat-money,Flat Money,,
Elite Cover,Flat Money,flat-money,Flat Money,,
Essential Cover,Fluid,,,,
Elite Cover,Fluid,,,,
Essential Cover,Frax Finance,frax,Frax,frax,Frax
Elite Cover,Frax Finance,frax,Frax,frax,Frax
Elite Cover,Frax Staked ETH,,,,
Elite Cover,Fraxlend,frax-lend,Frax Lend,,
Elite Cover,Fraxswap,frax-swap,Frax Swap,,
Elite Cover,Gains Network,gains-network,Gains Network,,
Elite Cover,Gearbox,gearbox,Gearbox,gearbox,Gearbox
Essential Cover,GMX,gmx,GMX,,
Elite Cover,GMX,gmx,GMX,,
Elite Cover,Harvest Finance,harvest,Harvest,,
Elite Cover,HOT AMM,,,,
Elite Cover,Hyperliquid,hyperliquid,Hyperliquid,,
Elite Cover,Index Coop,index-coop,Index Coop,,
Elite Cover,Instadapp Lite,instadapp,Instadapp,,
Elite Cover,Inverse Finance FiRM,inverse-firm,Inverse Finance - FiRM,,
Essential Cover,Inverse sDOLA,inverse,Inverse Finance,,
Elite Cover,Inverse sDOLA,inverse,Inverse Finance,,
Essential Cover,Karak,karak,Karak,,
Elite Cover,Karak,karak,Karak,,
Elite Cover,KelpDAO,kelp,Kelp,kelp-dao,Kelp DAO
Essential Cover,Kiln,,,,
Elite Cover,Kiln,,,,
Essential Cover,Kwenta,kwenta,Kwenta,,
Elite Cover,Kwenta,kwenta,Kwenta,,
Entry Cover,Lido,lido,Lido,,
Essential Cover,Lido,lido,Lido,,
Elite Cover,Lido,lido,Lido,,
Essential Cover,Liquity,liquity,Liquity,,
Elite Cover,Liquity,liquity,Liquity,,
Essential Cover,Lombard Finance EVM instance,,,,
Elite Cover,Lombard Finance EVM instance,,,,
Elite Cover,MakerDAO,DAO-Maker,DAO Maker,,
Elite Cover,Maverick,maverick-protocol,Maverick Protocol,maverick,Maverick
Elite Cover,Mellow Finance,,,,
Essential Cover,Moonwell,moonwell,Moonwell,moonwell,Moonwell
Elite Cover,Moonwell,moonwell,Moonwell,moonwell,Moonwell
Essential Cover,Morpho + Morpho Vaults,morpho,Morpho,morpho-blue,Morpho Blue
Elite Cover,Morpho + Morpho Vaults,morpho,Morpho,morpho-blue,Morpho Blue
Elite Cover,Mummy,mummy-finance,Mummy Finance,,
Essential Cover,Notional v3,notional-finance-v3,Notional Finance V3,notional,Notional
Elite Cover,Notional v3,notional-finance-v3,Notional Finance V3,,
Elite Cover,Origin OUSD,,,,
Essential Cover,Origin Protocol,origin,Origin,,
Elite Cover,Origin Protocol,origin,Origin,,
Elite Cover,Origin superOETH,,,,
Essential Cover,PancakeSwap,pancakeswap,PancakeSwap,pancake-swap,PancakeSwap
Elite Cover,PancakeSwap,pancakeswap,PancakeSwap,pancake-swap,PancakeSwap
Entry Cover,Paraswap,paraswap,Paraswap,paraswap,ParaSwap
Essential Cover,Paraswap,paraswap,Paraswap,paraswap,ParaSwap
Elite Cover,Paraswap,paraswap,Paraswap,paraswap,ParaSwap
Essential Cover,Pendle,pendle,Pendle,pendle-v2,Pendle V2
Elite Cover,Pendle,pendle,Pendle,pendle-v2,Pendle V2
Elite Cover,Pharaoh,pharaoh-exchange,Pharaoh Exchange,,
Essential Cover,PoolTogether v5,pool-together-v5,PoolTogether,,
Elite Cover,PoolTogether v5,pool-together-v6,PoolTogether,,
Essential Cover,Prisma Finance,prisma-finance,Prisma Finance,prisma-finance,Prisma Finance
Elite Cover,Prisma Finance,prisma-finance,Prisma Finance,prisma-finance,Prisma Finance
Essential Cover,Puffer Finance,puffer-finance,Puffer Finance,,
Elite Cover,Puffer Finance,puffer-finance,Puffer Finance,,
Elite Cover,Quickswap,quickswap,Quickswap,quickswap,QuickSwap
Elite Cover,Ramses,ramses,Ramses,,
Elite Cover,Reflexer Finance,reflexer,Reflexer,,
Essential Cover,Renzo,renzo,Renzo,,
Elite Cover,Renzo,renzo,Renzo,,
Elite Cover,Reserve Finance,reserve-protocol,Reserve Protocol,reserve-protocol,Reserve Protocol
Entry Cover,Rocket Pool,rocket-pool,Rocket Pool,,
Essential Cover,Rocket Pool,rocket-pool,Rocket Pool,,
Elite Cover,Rocket Pool,rocket-pool,Rocket Pool,,
Entry Cover,Safe,safe-gnosis,Safe (Fka Gnosis Safe),,
Essential Cover,Safe,safe-gnosis,Safe (Fka Gnosis Safe),,
Elite Cover,Safe,safe-gnosis,Safe (Fka Gnosis Safe),,
Entry Cover,Savings crvUSD (scrvUSD),curve-stablecoin,Curve Stablecoin,,
Essential Cover,Savings crvUSD (scrvUSD),,,,
Elite Cover,Savings crvUSD (scrvUSD),,,,
Elite Cover,Set Protocol v2,,,,
Elite Cover,Silo,silo-finance,Silo Finance,silo,Silo
Essential Cover,Sky Protocol,sky,Sky,,
Elite Cover,Sky Protocol,sky,Sky,,
Entry Cover,Sky Savings Rate (sUSDS),sky,Sky,,
Essential Cover,Sky Savings Rate (sUSDS),sky,Sky,,
Elite Cover,Sky Savings Rate (sUSDS),sky,Sky,,
Essential Cover,Spark Protocol,,,spark,Spark
Elite Cover,Spark Protocol,,,spark,Spark
Elite Cover,Spectra Finance,,,,
Essential Cover,Stader,stader,Stader,stader,Stader
Elite Cover,Stader,stader,Stader,stader,Stader
Elite Cover,StakeDAO,stake-dao,StakeDAO,,
Entry Cover,Stakewise,stakewise,StakeWise,,
Essential Cover,Stakewise,stakewise,StakeWise,,
Elite Cover,Stakewise,stakewise,StakeWise,,
Elite Cover,Sturdy,sturdy,Sturdy,sturdy-v2,Sturdy V2
Elite Cover,Summerfi,Summer-fi,Summer.fi,,
Elite Cover,Superform,superform-labs,Superform Labs,,
Elite Cover,SushiSwap,sushiswap,SushiSwap,,
Essential Cover,Swell,swell,Swell,,
Elite Cover,Swell,swell,Swell,,
Essential Cover,Symbiotic,symbiotic,Symbiotic,,
Elite Cover,Symbiotic,symbiotic,Symbiotic,,
Essential Cover,Synthetix,synthetix,Synthetix,synthetix,Synthetix
Elite Cover,Synthetix,synthetix,Synthetix,synthetix,Synthetix
Essential Cover,Syrup,syrup,Syrup,syrup,Syrup
Elite Cover,Syrup,syrup,Syrup,syrup,Syrup
Essential Cover,Term Finance,,,term-finance,Term Finance
Elite Cover,Term Finance,,,term-finance,Term Finance
Essential Cover,Toros Finance,,,,
Elite Cover,Toros Finance,,,,
Elite Cover,Treehouse,,,treehouse,Treehouse
Entry Cover,Uniswap v2,uniswap-v2,Uniswap V2,uniswap-v2,Uniswap V2
Essential Cover,Uniswap v2,uniswap-v2,Uniswap V2,uniswap-v2,Uniswap V2
Entry Cover,Uniswap v3,uniswap-v3,Uniswap V3,uniswap-v3,Uniswap V3
Essential Cover,Uniswap v3,uniswap-v3,Uniswap V3,uniswap-v3,Uniswap V3
Elite Cover,Uniswap v3,uniswap-v3,Uniswap V3,uniswap-v3,Uniswap V3
Elite Cover,Usual,usual,Usual,,
Elite Cover,Veda,,,,
Essential Cover,Velodrome,velodrome,Velodrome,,
Elite Cover,Velodrome,velodrome,Velodrome,,
Elite Cover,Yearn Finance,yearn,Yearn,,
Essential Cover,Yearn v2,,,yearn-v2,Yearn V2
Elite Cover,Yearn v2,,,yearn-v2,Yearn V2
Elite Cover,Yearn v3,yearn-v3,Yearn V3,yearn-v3,Yearn V3
